cod-estabel;tipo-frete;regional;cod-zona;nome-abrev;nr-pedcli;nr-pedrep;situacao;cod-emitente;nome-emit;nome-matriz;cod-emitente-tri;nome-emit-tri;nome-abrev-tri;dt-implant;dt-entrega;cidade;uf;peso;volumes;paletes;nr-simul;dt-fatur;dt-agendamento;porcentagem-in-full;agendado;cdd-embarq;Cliente-de-Agendamento;peso-emb;volumes-emb;paletes-emb;observacao;volumes-pedido;nr-nota-fis;qt-cancelada;situacao-credito;cod-rep;nome-rep;cod-veiculo;desc-veiculo;dt-apr-cred;data-simul;dt-criacao-prog;dt-embarque;dt-daturamento;agenda-solicitada;data-agenda-solicitada;mês-ped;mês-fat;chave;status-agend;status-transpo;infull;canal;tipo-veiculo;destino;gt;gc;lt-cred;lt-form;lt-prog;lt-total;lt-fat-ent;houve_reprog?;smn-fat;status
101;CIF;REGIONAL PE2;101-91;SENDAS 109;0000/6571;19095286;At. Parcial;466960;SENDAS DISTRIBUIDORA S/A;SENDAS 510;0;;;15/04/2024;15/04/2024;Paulista;PE;12058,2;910;13;922058;28/06/2024;01/07/2024;19,11;no;?;yes;0;0;0;;4762;?;0;Aprovado;29;PAULO SOBRAL;110;Truck Baú (13,5t);15/04/2024;05/06/2024;20/06/2024;?;?;no;?;4;6;0000/6571922058;Agenda Confirmada;Pendente;19%;CASH & CARRY;TRUCK;Cliente;EDIWINA GALVAO;DAYANNE M;0;51;15;77;3;yes;S4-JUN;PROGRAMADO
101;CIF;REGIONAL PB;101-42;AGRESTE C 04;1840/0382;;At. Parcial;476414;AGRESTE COMERCIO ATACADO E VAREJO EIRELI;FARIAS SUP 1;0;;;17/04/2024;17/04/2024;Campina Grande;PB;996,67;82;1,477777778;921400;02/07/2024;04/07/2024;3,48;no;?;no;0;0;0;;2353;?;0;Aprovado;184;ERMINIO;116;Carreta Baú (25t);24/05/2024;01/06/2024;21/06/2024;?;?;no;?;4;7;1840/0382921400;OK;Reagendamento;3%;KEY ACCOUNT REGIONAL;CARRETA;Cliente;CICLEUSA REGINA;DAVISON;37;8;20;78;2;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PE2;101-91;SENDAS 911;0000/6684;19103576;At. Parcial;466961;SENDAS DISTRIBUIDORA S/A;SENDAS 510;0;;;18/04/2024;18/04/2024;Paulista;PE;63059,28;720;92;0;?;?;0;no;?;yes;0;0;0;;101212;;4000;Aprovado;29;PAULO SOBRAL;;;06/05/2024;?;?;?;?;no;?;4;0;0000/66840;;;1%;CASH & CARRY;;Cliente;EDIWINA GALVAO;DAYANNE M;0;0;0;70;0;no;;SALDOS À DEFINIR
101;CIF;REGIONAL PE2;101-91;SENDAS 911;0000/6684;19103576;At. Parcial;466961;SENDAS DISTRIBUIDORA S/A;SENDAS 510;0;;;18/04/2024;18/04/2024;Paulista;PE;21208,32;1680;28;920852;02/07/2024;03/07/2024;1,66;no;590360;yes;21208,32;1680;28;;101212;?;0;Aprovado;29;PAULO SOBRAL;116;Carreta Baú (25t);06/05/2024;31/05/2024;12/06/2024;10/06/2024;?;no;?;4;7;0000/6684920852;;;2%;CASH & CARRY;CARRETA;Cliente;EDIWINA GALVAO;DAYANNE M;18;25;12;76;1;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PE2;101-91;SENDAS 911;0000/6684;19103576;At. Parcial;466961;SENDAS DISTRIBUIDORA S/A;SENDAS 510;0;;;18/04/2024;18/04/2024;Paulista;PE;17216,856;1500;26,4;920856;01/07/2024;02/07/2024;1,48;no;?;yes;0;0;0;;101212;?;0;Aprovado;29;PAULO SOBRAL;116;Carreta Baú (25t);06/05/2024;31/05/2024;04/06/2024;?;?;no;?;4;7;0000/6684920856;;;1%;CASH & CARRY;CARRETA;Cliente;EDIWINA GALVAO;DAYANNE M;18;25;4;75;1;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PE2;101-91;SENDAS 911;0000/6684;19103576;At. Parcial;466961;SENDAS DISTRIBUIDORA S/A;SENDAS 510;0;;;18/04/2024;18/04/2024;Paulista;PE;16882,61;2338;26,76470588;920858;01/07/2024;02/07/2024;2,31;no;?;yes;0;0;0;;101212;?;0;Aprovado;29;PAULO SOBRAL;116;Carreta Baú (25t);06/05/2024;31/05/2024;08/06/2024;?;?;no;?;4;7;0000/6684920858;Agenda Confirmada;Pendente;2%;CASH & CARRY;CARRETA;Cliente;EDIWINA GALVAO;DAYANNE M;18;25;8;75;1;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PE2;101-91;SENDAS 911;0000/6684;19103576;At. Parcial;466961;SENDAS DISTRIBUIDORA S/A;SENDAS 510;0;;;18/04/2024;18/04/2024;Paulista;PE;16589,277;1888;23,65215471;920860;02/07/2024;03/07/2024;1,87;no;?;yes;0;0;0;;101212;?;0;Aprovado;29;PAULO SOBRAL;116;Carreta Baú (25t);06/05/2024;31/05/2024;04/06/2024;?;?;no;?;4;7;0000/6684920860;;;2%;CASH & CARRY;CARRETA;Cliente;EDIWINA GALVAO;DAYANNE M;18;25;4;76;1;no;S1-JUL;PROGRAMADO
101;CIF;REGIONAL RN2;101-97;MAR VERMELHO;0120/0381;;At. Parcial;467253;MAR VERMELHO ATACADISTA DE ALIMENTOS LTDA - ME;MAR VERME 01;0;;;18/04/2024;18/04/2024;Parnamirim;RN;1005,22;100;1,211111111;0;?;?;0;no;?;yes;0;0;0;;4007;;0;Aprovado;12;ELIOFÁBIA;;;18/04/2024;?;?;?;?;no;?;4;0;0120/03810;;;2%;CASH & CARRY REGIONAL;;Cliente;RIVELLY TAVARES;DAVISON;0;0;0;70;0;no;;SALDOS À DEFINIR
101;CIF;REGIONAL RN2;101-97;MAR VERMELHO;0120/0381;;At. Parcial;467253;MAR VERMELHO ATACADISTA DE ALIMENTOS LTDA - ME;MAR VERME 01;0;;;18/04/2024;18/04/2024;Parnamirim;RN;166,075;25;0,215555556;922941;29/06/2024;01/07/2024;0,62;no;?;yes;0;0;0;;4007;?;0;Aprovado;12;ELIOFÁBIA;110;Truck Baú (13,5t);18/04/2024;12/06/2024;25/06/2024;?;?;no;?;4;6;0120/0381922941;;;1%;CASH & CARRY REGIONAL;TRUCK;Cliente;RIVELLY TAVARES;DAVISON;0;55;13;74;2;no;S4-JUN;PROGRAMADO
101;CIF;REGIONAL PE1;101-97;VITA NORTE C;0250/0739;;At. Parcial;10467;COMERCIAL VITA NORTE LTDA;VITA NORTE C;0;;;19/04/2024;25/05/2024;Recife;PE;21982,87;1666;23,8;921681;02/07/2024;03/07/2024;56,13;no;?;yes;0;0;0;;2968;?;0;Aprovado;25;ADRIANA;112;Carreta Baú (25t);03/06/2024;03/06/2024;24/06/2024;?;?;no;?;4;7;0250/0739921681;Agenda Solicitada;;56%;ATACADO DISTRIBUIDOR;CARRETA;Cliente;FABIANO JOSÉ;DAYANNE M;45;0;21;39;1;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL AL;101-17;UNI COMPRA;0130/0171;687569;At. Parcial;463538;UNI COMPRA SUPERMERCADOS LTDA;UNI COMPR 01;0;;;22/04/2024;22/04/2024;Arapiraca;AL;983,8125;65;1,459188035;0;?;?;0;no;?;no;0;0;0;;8219;;30;Aprovado;13;JOSE CLAUDIO;;;24/05/2024;?;?;?;?;no;?;4;0;0130/01710;;;1%;KEY ACCOUNT REGIONAL;;Cliente;ANDERSON TEODORO;DAVISON;0;0;0;66;0;no;;SALDOS À CANCELAR
101;CIF;REGIONAL AL;101-17;UNI COMPRA;0130/0173;;At. Parcial;463538;UNI COMPRA SUPERMERCADOS LTDA;UNI COMPR 01;0;;;22/04/2024;15/05/2024;Arapiraca;AL;983,8125;65;1,459188034;0;?;?;0;no;?;no;0;0;0;;8219;;30;Aprovado;13;JOSE CLAUDIO;;;24/05/2024;?;?;?;?;no;?;4;0;0130/01730;;;1%;KEY ACCOUNT REGIONAL;;Cliente;ANDERSON TEODORO;DAVISON;0;0;0;43;0;no;;SALDOS À CANCELAR
101;CIF;REGIONAL PE2;101-04;LF SA SANTOS;0320/0843;;At. Parcial;467663;L F SA DOS SANTOS & CIA LTDA ME;LF SA SANTOS;0;;;22/04/2024;22/04/2024;Jaboatao dos Guararapes;PE;315,05;40;0,38878347;922640;27/06/2024;28/06/2024;15,21;no;592745;no;315,05;40;0,38878347;;263;?;0;Aprovado;32;EDNALDO LIMA;119;VUC;22/04/2024;10/06/2024;25/06/2024;21/06/2024;?;no;?;4;6;0320/0843922640;OK;Pendente;15%;VAREJO;VUC;Cliente;EDIWINA GALVAO;DAYANNE M;0;49;15;67;1;yes;S4-JUN;PROGRAMADO
101;CIF;REGIONAL PE2;101-04;LF SA SANTOS;0320/0844;;At. Parcial;467663;L F SA DOS SANTOS & CIA LTDA ME;LF SA SANTOS;0;;;22/04/2024;22/04/2024;Jaboatao dos Guararapes;PE;131;20;0,16;0;?;?;0;no;?;no;0;0;0;;613;;0;Aprovado;32;EDNALDO LIMA;;;22/04/2024;?;?;?;?;no;?;4;0;0320/08440;;;3%;VAREJO;;Cliente;EDIWINA GALVAO;DAYANNE M;0;0;0;66;0;no;;SALDOS À DEFINIR
101;CIF;REGIONAL PE2;101-04;LF SA SANTOS;0320/0844;;At. Parcial;467663;L F SA DOS SANTOS & CIA LTDA ME;LF SA SANTOS;0;;;22/04/2024;22/04/2024;Jaboatao dos Guararapes;PE;769,19;75;0,945;922640;27/06/2024;28/06/2024;12,23;no;592745;no;769,19;75;0,945;;613;?;0;Aprovado;32;EDNALDO LIMA;119;VUC;22/04/2024;10/06/2024;25/06/2024;21/06/2024;?;no;?;4;6;0320/0844922640;OK;Pendente;12%;VAREJO;VUC;Cliente;EDIWINA GALVAO;DAYANNE M;0;49;15;67;1;yes;S4-JUN;PROGRAMADO
101;CIF;REGIONAL PB;101-42;SUPE. O FILE;1840/0389;;At. Parcial;463494;SUPERMERCADO O FILEZAO LTDA - EPP;SUPE. O FILE;0;;;23/04/2024;29/04/2024;Campina Grande;PB;1054,135;96;1,253489729;921400;02/07/2024;04/07/2024;26,97;no;?;no;0;0;0;;356;?;0;Aprovado;184;ERMINIO;116;Carreta Baú (25t);23/04/2024;01/06/2024;21/06/2024;?;?;no;?;4;7;1840/0389921400;OK;Reagendamento;27%;VAREJO;CARRETA;Cliente;CICLEUSA REGINA;DAVISON;0;39;20;66;2;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PE1;101-97;A & B ALIMEN;0250/0767;74798;At. Parcial;9907;A & B ALIMENTOS E BEBIDAS LTDA;A & B ALIMEN;0;;;24/04/2024;24/04/2024;RECIFE;PE;827,475;85;1;0;?;?;0;no;?;yes;0;0;0;;1216;;0;Aprovado;25;ADRIANA;;;24/04/2024;?;?;?;?;no;?;4;0;0250/07670;;;7%;ATACADO;;Cliente;FABIANO JOSÉ;DAYANNE M;0;0;0;64;0;no;;SALDOS À DEFINIR
101;CIF;REGIONAL PB;101-42;MERCA TOURAO;1840/0391;;At. Parcial;16887;MERCADINHO O TOURAO LTDA ME;MERCA TOURAO;0;;;24/04/2024;29/04/2024;CAMPINA GRANDE;PB;769,724;70;0,932189559;921400;02/07/2024;04/07/2024;13,26;no;?;no;0;0;0;;528;?;0;Aprovado;184;ERMINIO;116;Carreta Baú (25t);24/05/2024;01/06/2024;21/06/2024;?;?;no;?;4;7;1840/0391921400;OK;Reagendamento;13%;VAREJO;CARRETA;Cliente;CICLEUSA REGINA;DAVISON;30;8;20;66;2;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PE3;101-90;ATACADAO 356;0000/6958;774863;Aberto;482849;ATACADAO S.A.;ATACADAO 000;0;;;25/04/2024;25/04/2024;Sao Lourenco da Mata;PE;870,16;80;1;0;?;?;0;no;?;yes;0;0;0;;80;;0;Aprovado;29;PAULO SOBRAL;;;25/04/2024;?;?;?;?;no;?;4;0;0000/69580;;;100%;CASH & CARRY;;Cliente;HÉLIO JOSÉ;DAYANNE M;0;63;#VALOR!;63;0;no;;FORMAÇÃO DE CARGAS
101;CIF;REGIONAL AL;101-90;ATACADAO 216;0000/6964;774844;At. Parcial;471346;ATACADAO S.A.;ATACADAO 000;0;;;25/04/2024;25/04/2024;Maceio;AL;641,7;279;1;0;?;?;0;no;?;yes;0;0;0;;535;;0;Aprovado;29;PAULO SOBRAL;;;25/04/2024;?;?;?;?;no;?;4;0;0000/69640;;;52%;CASH & CARRY;;Cliente;ANDERSON TEODORO;DAVISON;0;0;0;63;0;no;;SALDOS À DEFINIR
101;CIF;REGIONAL PE3;101-90;ATACADAO 316;0000/6968;774859;At. Parcial;478231;ATACADAO S.A.;ATACADAO 000;0;;;25/04/2024;25/04/2024;Santa Cruz do Capibaribe;PE;67,45;10;0,1;0;?;?;0;no;?;yes;0;0;0;;602;;0;Aprovado;27;ADRIANO C;;;25/04/2024;?;?;?;?;no;?;4;0;0000/69680;;;2%;CASH & CARRY;;Cliente;HÉLIO JOSÉ;DAYANNE M;0;0;0;63;0;no;;SALDOS À CANCELAR
101;CIF;REGIONAL RN2;101-90;ATACADAO 062;0000/6959;774832;At. Parcial;10561;ATACADAO S.A.;ATACADAO 000;0;;;25/04/2024;25/04/2024;NATAL;RN;71,3;31;0,111111111;0;?;?;0;no;?;yes;0;0;0;;631;;0;Aprovado;29;PAULO SOBRAL;;;25/04/2024;?;?;?;?;no;?;4;0;0000/69590;;;5%;CASH & CARRY;;Cliente;RIVELLY TAVARES;DAVISON;0;0;0;63;0;no;;SALDOS À DEFINIR
101;CIF;REGIONAL RN2;101-90;ATACADAO 062;0000/6959;774832;At. Parcial;10561;ATACADAO S.A.;ATACADAO 000;0;;;25/04/2024;25/04/2024;NATAL;RN;213,705;92;0,376571038;920920;02/07/2024;04/07/2024;14,58;no;?;yes;0;0;0;;631;?;0;Aprovado;29;PAULO SOBRAL;112;Carreta Baú (25t);25/04/2024;31/05/2024;25/06/2024;?;?;no;?;4;7;0000/6959920920;Agenda Solicitada;Reagendamento;15%;CASH & CARRY;CARRETA;Cliente;RIVELLY TAVARES;DAVISON;0;36;25;70;2;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PB;101-90;ATACADAO 089;0000/6989;774836;At. Parcial;10591;ATACADAO S.A.;ATACADAO 000;0;;;25/04/2024;25/04/2024;CAMPINA GRANDE;PB;1003,41;87;1,024476321;920954;29/06/2024;01/07/2024;9,17;no;?;yes;0;0;0;;949;?;0;Aprovado;29;PAULO SOBRAL;110;Truck Baú (13,5t);25/04/2024;31/05/2024;25/06/2024;?;?;no;?;4;6;0000/6989920954;Pendente Agendamento;;9%;CASH & CARRY;TRUCK;Cliente;CICLEUSA REGINA;DAVISON;0;36;25;67;2;yes;S4-JUN;PROGRAMADO
101;CIF;REGIONAL RN2;101-90;WMS SUP. 842;0000/6970;774865;At. Parcial;477464;WMS SUPERMERCADOS DO BRASIL LTDA;WMS SUP 0001;0;;;25/04/2024;25/04/2024;Natal;RN;67,45;10;0,1;0;?;?;0;no;?;yes;0;0;0;;938;;0;Aprovado;29;PAULO SOBRAL;;;25/04/2024;?;?;?;?;no;?;4;0;0000/69700;;;1%;CASH & CARRY;;Cliente;RIVELLY TAVARES;DAVISON;0;0;0;63;0;no;;SALDOS À CANCELAR
101;CIF;REGIONAL AL;101-90;ATACADAO217;0000/6972;774845;At. Parcial;470769;ATACADAO S.A.;ATACADAO 000;0;;;25/04/2024;25/04/2024;Maceió;AL;2389,928;230;3,153840246;0;?;?;0;no;?;yes;0;0;0;;1479;;0;Aprovado;29;PAULO SOBRAL;;;25/04/2024;?;?;?;?;no;?;4;0;0000/69720;;;16%;CASH & CARRY;;Cliente;ANDERSON TEODORO;DAVISON;0;0;0;63;0;no;;SALDOS À DEFINIR
101;CIF;REGIONAL PB;101-90;ATACADAO 199;0000/6977;774843;At. Parcial;468834;ATACADAO S.A.;ATACADAO 000;0;;;25/04/2024;25/04/2024;PATOS;PB;67,45;10;0,1;0;?;?;0;no;?;yes;0;0;0;;707;;0;Aprovado;29;PAULO SOBRAL;;;25/04/2024;?;?;?;?;no;?;4;0;0000/69770;;;1%;CASH & CARRY;;Cliente;CICLEUSA REGINA;DAVISON;0;0;0;63;0;no;;SALDOS À CANCELAR
101;CIF;REGIONAL RN2;101-90;ATACADAO 051;0000/6979;774829;At. Parcial;10551;ATACADAO S.A.;ATACADAO 000;0;;;25/04/2024;25/04/2024;NATAL;RN;67,45;10;0,1;0;?;?;0;no;?;yes;0;0;0;;646;;0;Aprovado;29;PAULO SOBRAL;;;25/04/2024;?;?;?;?;no;?;4;0;0000/69790;;;2%;CASH & CARRY;;Cliente;RIVELLY TAVARES;DAVISON;0;0;0;63;0;no;;SALDOS À CANCELAR
101;CIF;REGIONAL PE2;101-90;ATACADAO 293;0000/6954;774857;At. Parcial;476424;ATACADAO S.A.;ATACADAO 000;0;;;26/04/2024;26/04/2024;RECIFE;PE;1343,946;30;1,425;0;?;?;0;no;?;yes;0;0;0;;1961;;171;Aprovado;29;PAULO SOBRAL;;;29/04/2024;?;?;?;?;no;?;4;0;0000/69540;;;2%;CASH & CARRY;;Cliente;EDIWINA GALVAO;DAYANNE M;0;0;0;62;0;no;;SALDOS À DEFINIR
101;CIF;REGIONAL PE2;101-90;ATACADAO 293;0000/6954;774857;At. Parcial;476424;ATACADAO S.A.;ATACADAO 000;0;;;26/04/2024;26/04/2024;RECIFE;PE;143,3;25;0,232638889;920909;28/06/2024;01/07/2024;1,27;no;?;yes;0;0;0;;1961;?;0;Aprovado;29;PAULO SOBRAL;112;Carreta Baú (25t);29/04/2024;31/05/2024;25/06/2024;?;?;no;?;4;6;0000/6954920909;Reagendamento;;1%;CASH & CARRY;CARRETA;Cliente;EDIWINA GALVAO;DAYANNE M;3;32;25;66;3;yes;S4-JUN;PROGRAMADO
101;CIF;REGIONAL PE2;101-90;ATACADAO 187;0000/6967;774842;At. Parcial;467831;ATACADAO S.A.;ATACADAO 000;0;;;26/04/2024;26/04/2024;Igarassu;PE;791,736;120;1,4;920883;04/07/2024;05/07/2024;1,47;no;?;yes;0;0;0;;8190;?;0;Aprovado;29;PAULO SOBRAL;116;Carreta Baú (25t);30/04/2024;31/05/2024;25/06/2024;?;?;no;?;4;7;0000/6967920883;Reagendamento;;1%;CASH & CARRY;CARRETA;Cliente;EDIWINA GALVAO;DAYANNE M;4;31;25;70;1;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PE4;101-90;ATACADAO 244;0000/6971;774851;At. Parcial;473573;ATACADAO S.A.;ATACADAO 000;0;;;26/04/2024;26/04/2024;Petrolina;PE;863,65;70;0,9;0;?;?;0;no;?;yes;0;0;0;;2558;;0;Aprovado;26;FLAVIO MAIA;;;26/04/2024;?;?;?;?;no;?;4;0;0000/69710;;;3%;CASH & CARRY;;Cliente;FABIANO JOSÉ;DAYANNE M;0;0;0;62;0;no;;SALDOS À CANCELAR
101;CIF;REGIONAL PE4;101-90;ATACADAO 240;0000/6980;774849;At. Parcial;472590;ATACADAO S.A.;ATACADAO 000;0;;;26/04/2024;26/04/2024;Serra Talhada;PE;978,698;42;1,117857143;0;?;?;0;no;?;yes;0;0;0;;544;;95;Aprovado;29;PAULO SOBRAL;;;29/04/2024;?;?;?;?;no;?;4;0;0000/69800;;;8%;CASH & CARRY;;Cliente;FABIANO JOSÉ;DAYANNE M;0;0;0;62;0;no;;SALDOS À DEFINIR
101;CIF;REGIONAL PE4;101-90;ATACADAO 240;0000/6980;774849;At. Parcial;472590;ATACADAO S.A.;ATACADAO 000;0;;;26/04/2024;26/04/2024;Serra Talhada;PE;2925,35;293;3,408823529;920915;27/06/2024;28/06/2024;53,86;no;593282;yes;2925,35;293;3,408823529;;544;?;0;Aprovado;29;PAULO SOBRAL;116;Carreta Baú (25t);29/04/2024;31/05/2024;25/06/2024;26/06/2024;?;no;?;4;6;0000/6980920915;Agenda Confirmada;Pendente;54%;CASH & CARRY;CARRETA;Cliente;FABIANO JOSÉ;DAYANNE M;3;32;25;63;1;yes;S4-JUN;PROGRAMADO
101;CIF;REGIONAL PE2;101-90;ATACADAO 047;0000/6983;774827;At. Parcial;13783;ATACADAO S.A.;ATACADAO 000;0;;;26/04/2024;26/04/2024;RECIFE;PE;1276,496;20;1,325;0;?;?;0;no;?;yes;0;0;0;;1960;;171;Aprovado;29;PAULO SOBRAL;;;29/04/2024;?;?;?;?;no;?;4;0;0000/69830;;;1%;CASH & CARRY;;Cliente;EDIWINA GALVAO;DAYANNE M;0;0;0;62;0;no;;SALDOS À CANCELAR
101;CIF;REGIONAL PE2;101-90;ATACADAO 152;0000/6984;774841;At. Parcial;461435;ATACADAO S.A.;ATACADAO 000;0;;;26/04/2024;26/04/2024;Camaragibe;PE;1700,77;106;1,736111111;0;?;?;0;no;?;yes;0;0;0;;1440;;95;Aprovado;29;PAULO SOBRAL;;;29/04/2024;?;?;?;?;no;?;4;0;0000/69840;;;7%;CASH & CARRY;;Cliente;EDIWINA GALVAO;DAYANNE M;0;0;0;62;0;no;;SALDOS À DEFINIR
